year,north,1,2,3,4,5,6,7,south
1979,46,60,84,3255,28603,6719,13067,7326,7151
1980,8,588,322,5284,9695,4064,35481,7649,7151
1981,131,2288,2405,1626,7299,5552,30585,7580,5690
1982,0,1056,2063,5000,14097,9980,30684,9580,8148
1983,19,369,723,5029,11642,4510,29002,13642,7615
1984,0,1641,2223,9351,17923,10378,29689,6546,5091
1985,0,2058,1474,7700,9260,5081,25155,3895,5161
1986,0,65,693,12112,12263,13960,22282,4770,1288
1987,24,1920,1289,14610,10362,8310,22056,3716,3349
1988,12,816,1188,12844,20116,7440,24400,5438,3911
1989,15,1195,1841,10456,7769,11173,26558,5133,6589
1990,3,89,1833,11910,21677,19990,39420,9439,5133
1991,3,1644,1790,11525,12711,15242,22552,4324,5493
1992,41,636,688,16112,9108,14116,26581,9119,5299
1993,16,1091,233,12725,9740,8548,27076,6941,4690
1994,0,1002,730,19046,4352,16565,32376,9684,2488
1995,0,923,1195,23746,10467,9957,33569,6796,1893
1996,14,1915,1325,21529,12042,15471,25536,3162,3024
1997,14,2336,650,18986,15282,16213,21786,5456,3024
1998,14,796,620,15540,6213,15603,16474,6966,5159
1999,14,1518,1568,3494,13822,7069,30367,5279,3180
2000,9,1171,384,6473,9146,14967,17754,6303,5419
2001,5,1872,594,8303,4066,15014,21192,5554,3387
2002,67,1214,700,23483,4173,15307,25505,4599,3644
2003,23,1242,270,17664,9986,19050,20370,6027,2658
2004,8,631,867,30349,9263,22095,22013,5308,2814
2005,33,2633,1686,17540,5677,20743,17533,3673,3727
2006,33,951,536,20798,2664,25088,25510,3067,3066
2007,33,1859,908,15301,11238,16547,20678,3934,3066
2008,0,1890,398,11841,7436,28766,19713,3555,4602
2009,15,2292,428,13140,12090,25240,18177,2863,5402
2010,8,2302,224,12844,3848,20834,14256,3196,4577
2011,21,1001,616,16975,6196,16100,14012,5220,4577
2012,0,1600,1220,8539,5689,12032,23563,3552,2488
2013,8,2994,711,6410,10292,15832,32284,7092,4577
2014,0,578,458,15983,11819,34355,20314,4124,2485
2015,10,1847,775,17463,12563,17290,28534,2347,4221
