year,meanhatchdoy,meandoyphotos,meanage
1985,182,277,95
1986,178,278,100
1987,178,274,96
1988,174,269,95
1989,181,269,88
1990,172,273,101
1991,171,273,102
1992,182,274,92
1993,172,275,103
1994,170,270,100
1995,169,269,100
1996,169,268,99
1997,166,273,107
1998,175,272,97
1999,178,272,94
2000,176,272,96
2001,178,271,93
2002,169,275,106
2003,166,268,102
2004,165,278,113
2005,168,276,108
2006,175,272,97
2007,170,273,103
2008,174,270,96
2009,175,276,101
2010,171,269,98
2011,183,271,88
2012,164,272,108
2013,181,293,112
2014,166,271,105
2015,167,278,111
2016,164,259,95
